authority,version,code,name,datum,csType,longitudeDirection
IAU,2015,61400,Calypso (2015) / Ographic,IAU:2015:61400,ellipsoidal,west
IAU,2015,61401,Calypso (2015) / Ocentric,IAU:2015:61400,spherical,east
IAU,2015,61500,Atlas (2015) / Ographic,IAU:2015:61500,ellipsoidal,west
IAU,2015,61501,Atlas (2015) / Ocentric,IAU:2015:61500,spherical,east
IAU,2015,61600,Prometheus (2015) / Ographic,IAU:2015:61600,ellipsoidal,west
IAU,2015,61601,Prometheus (2015) / Ocentric,IAU:2015:61600,spherical,east
IAU,2015,61700,Pandora (2015) / Ographic,IAU:2015:61700,ellipsoidal,west
IAU,2015,61701,Pandora (2015) / Ocentric,IAU:2015:61700,spherical,east
IAU,2015,61800,Pan (2015) / Ographic,IAU:2015:61800,ellipsoidal,west
IAU,2015,61801,Pan (2015) / Ocentric,IAU:2015:61800,spherical,east
IAU,2015,63201,Methone (2015) / Ocentric,IAU:2015:63200,spherical,east
IAU,2015,63301,Pallene (2015) / Ocentric,IAU:2015:63300,spherical,east
IAU,2015,63401,Polydeuces (2015) / Ocentric,IAU:2015:63400,spherical,east
IAU,2015,63501,Daphnis (2015) / Ocentric,IAU:2015:63500,spherical,east
IAU,2015,64901,Anthe (2015) / Ocentric,IAU:2015:64900,spherical,east
IAU,2015,65301,Aegaeon (2015) / Ocentric,IAU:2015:65300,spherical,east
IAU,2015,69900,Saturn (2015) / Ographic,IAU:2015:69900,ellipsoidal,west
IAU,2015,69901,Saturn (2015) / Ocentric,IAU:2015:69900,spherical,east
IAU,2015,70100,Ariel (2015) / Ographic,IAU:2015:70100,ellipsoidal,east
IAU,2015,70101,Ariel (2015) / Ocentric,IAU:2015:70100,spherical,east
IAU,2015,70200,Umbriel (2015) / Ographic,IAU:2015:70200,ellipsoidal,east
IAU,2015,70201,Umbriel (2015) / Ocentric,IAU:2015:70200,spherical,east
IAU,2015,70300,Titania (2015) / Ographic,IAU:2015:70300,ellipsoidal,east
IAU,2015,70301,Titania (2015) / Ocentric,IAU:2015:70300,spherical,east
IAU,2015,70400,Oberon (2015) / Ographic,IAU:2015:70400,ellipsoidal,east
IAU,2015,70401,Oberon (2015) / Ocentric,IAU:2015:70400,spherical,east
IAU,2015,70500,Miranda (2015) / Ographic,IAU:2015:70500,ellipsoidal,east
IAU,2015,70501,Miranda (2015) / Ocentric,IAU:2015:70500,spherical,east
IAU,2015,70600,Cordelia (2015) / Ographic,IAU:2015:70600,ellipsoidal,east
IAU,2015,70601,Cordelia (2015) / Ocentric,IAU:2015:70600,spherical,east
IAU,2015,70700,Ophelia (2015) / Ographic,IAU:2015:70700,ellipsoidal,east
IAU,2015,70701,Ophelia (2015) / Ocentric,IAU:2015:70700,spherical,east
IAU,2015,70800,Bianca (2015) / Ographic,IAU:2015:70800,ellipsoidal,east
IAU,2015,70801,Bianca (2015) / Ocentric,IAU:2015:70800,spherical,east
IAU,2015,70900,Cressida (2015) / Ographic,IAU:2015:70900,ellipsoidal,east
IAU,2015,70901,Cressida (2015) / Ocentric,IAU:2015:70900,spherical,east
IAU,2015,71000,Desdemona (2015) / Ographic,IAU:2015:71000,ellipsoidal,east
IAU,2015,71001,Desdemona (2015) / Ocentric,IAU:2015:71000,spherical,east
IAU,2015,71100,Juliet (2015) / Ographic,IAU:2015:71100,ellipsoidal,east
IAU,2015,71101,Juliet (2015) / Ocentric,IAU:2015:71100,spherical,east
IAU,2015,71200,Portia (2015) / Ographic,IAU:2015:71200,ellipsoidal,east
